metric_id,project_id,metric_name,metric_value,recorded_date
MET000039,PROJ000059,Net Promoter Score,90.84,2025-10-26
MET000040,PROJ000008,Deployment Frequency,69.65,2025-01-15
MET000041,PROJ000119,Average Response Time,43.93,2026-01-26
MET000042,PROJ000037,Average Response Time,62.76,2024-11-13
MET000043,PROJ000198,Average Response Time,23.18,2025-09-14
MET000044,PROJ000158,Bug Resolution Rate,83.61,2025-07-09
MET000045,PROJ000110,Customer Satisfaction,38.26,2024-12-03
MET000046,PROJ000053,Average Response Time,52.47,2025-03-09
MET000047,PROJ000177,Retention Rate,21.89,2025-10-06
MET000048,PROJ000184,Average Response Time,84.27,2025-05-28
MET000049,PROJ000202,Sprint Velocity,59.95,2025-04-11
MET000050,PROJ000043,Feature Completion,38.79,2024-09-08
MET000051,PROJ000241,Bug Resolution Rate,2.83,2026-04-10
MET000052,PROJ000109,Customer Satisfaction,24.07,2025-09-29
MET000053,PROJ000240,Average Response Time,28.55,2025-07-13
MET000054,PROJ000173,Customer Satisfaction,3.23,2026-01-05
MET000055,PROJ000189,Sprint Velocity,48.52,2024-08-18
MET000056,PROJ000079,Bug Resolution Rate,46.76,2025-02-01
MET000057,PROJ000247,Deployment Frequency,50.9,2024-09-19
MET000058,PROJ000235,Customer Satisfaction,22.14,2025-03-20
MET000059,PROJ000107,Feature Completion,92.49,2025-03-10
MET000060,PROJ000146,Feature Adoption,88.65,2024-12-17
MET000061,PROJ000201,Deployment Frequency,68.65,2025-05-11
MET000062,PROJ000024,Deployment Frequency,54.47,2026-04-14
MET000063,PROJ000213,Retention Rate,28.97,2025-07-28
MET000064,PROJ000226,Bug Resolution Rate,41.29,2026-04-04
MET000065,PROJ000012,Feature Completion,88.89,2026-03-17
MET000066,PROJ000097,Feature Adoption,68.14,2026-04-12
MET000067,PROJ000060,Bug Resolution Rate,35.05,2025-04-08
MET000068,PROJ000052,Average Response Time,16.09,2024-11-19
MET000069,PROJ000240,Monthly Active Users,99.33,2025-03-01
MET000070,PROJ000221,Net Promoter Score,65.58,2024-08-15
MET000071,PROJ000140,Feature Completion,52.56,2024-10-03
MET000072,PROJ000128,Bug Resolution Rate,4.66,2026-04-06
MET000073,PROJ000207,Bug Resolution Rate,54.83,2025-07-24
MET000074,PROJ000004,Bug Resolution Rate,95.34,2025-03-19
MET000075,PROJ000198,Customer Satisfaction,23.88,2025-02-10
MET000076,PROJ000217,Feature Adoption,44.34,2024-10-27
MET000077,PROJ000050,Net Promoter Score,40.62,2025-04-14
MET000078,PROJ000070,Customer Satisfaction,25.03,2026-03-26
MET000079,PROJ000170,Retention Rate,71.24,2024-12-19
MET000080,PROJ000092,Average Response Time,36.03,2024-10-26
MET000081,PROJ000186,Feature Completion,66.72,2026-07-19
MET000082,PROJ000015,Feature Adoption,31.36,2024-07-29
MET000083,PROJ000233,Net Promoter Score,27.89,2025-10-19
MET000084,PROJ000167,Monthly Active Users,76.81,2026-01-28
MET000085,PROJ000203,Feature Adoption,51.97,2025-04-02
MET000086,PROJ000067,Monthly Active Users,28.74,2026-02-18
MET000087,PROJ000032,Monthly Active Users,41.89,2025-03-14
MET000088,PROJ000213,Bug Resolution Rate,77.52,2025-03-20
MET000089,PROJ000075,Customer Satisfaction,74.78,2026-05-16
MET000090,PROJ000212,Deployment Frequency,84.06,2026-06-16
MET000091,PROJ000067,Retention Rate,93.56,2026-02-15
MET000092,PROJ000245,Customer Satisfaction,32.6,2026-01-27
MET000093,PROJ000134,Monthly Active Users,50.3,2025-07-31
MET000094,PROJ000181,Deployment Frequency,62.36,2025-06-18
MET000095,PROJ000039,Net Promoter Score,88.9,2025-10-30
MET000096,PROJ000094,Monthly Active Users,45.18,2026-05-04
MET000097,PROJ000068,Bug Resolution Rate,16.73,2024-11-08
MET000098,PROJ000181,Average Response Time,98.61,2025-11-26
MET000099,PROJ000043,Feature Adoption,98.59,2024-11-10
MET000100,PROJ000183,Sprint Velocity,17.94,2025-01-16
MET000101,PROJ000122,Bug Resolution Rate,8.31,2024-10-29
MET000102,PROJ000200,Sprint Velocity,56.22,2025-07-10
MET000103,PROJ000240,Average Response Time,16.41,2025-02-03
MET000104,PROJ000193,Deployment Frequency,88.38,2025-11-27
MET000105,PROJ000247,Customer Satisfaction,73.3,2024-11-24
MET000106,PROJ000051,Sprint Velocity,84.73,2025-11-09
MET000107,PROJ000175,Average Response Time,43.18,2026-01-08
MET000108,PROJ000121,Feature Completion,14.39,2025-12-07
MET000109,PROJ000184,Bug Resolution Rate,68.39,2025-01-02
MET000110,PROJ000046,Bug Resolution Rate,43.62,2026-02-20
MET000111,PROJ000025,Feature Adoption,56.37,2024-10-15
MET000112,PROJ000049,Monthly Active Users,22.82,2025-07-05
MET000113,PROJ000197,Deployment Frequency,4.94,2026-05-21
MET000114,PROJ000200,Retention Rate,89.57,2026-04-17
MET000115,PROJ000117,Bug Resolution Rate,51.33,2026-01-03
MET000116,PROJ000127,Feature Adoption,85.47,2025-06-21
MET000117,PROJ000198,Net Promoter Score,43.66,2025-07-28
MET000118,PROJ000044,Average Response Time,93.08,2026-06-29
MET000119,PROJ000002,Monthly Active Users,53.88,2025-03-20
MET000120,PROJ000184,Sprint Velocity,47.28,2025-05-19
MET000121,PROJ000183,Monthly Active Users,49.85,2024-12-06
MET000122,PROJ000076,Sprint Velocity,89.17,2026-07-01
MET000123,PROJ000226,Feature Completion,79.05,2024-12-12
MET000124,PROJ000103,Sprint Velocity,9.09,2025-07-15
MET000125,PROJ000124,Monthly Active Users,11.43,2025-02-07
MET000126,PROJ000127,Sprint Velocity,21.37,2025-07-29
MET000127,PROJ000180,Sprint Velocity,95.52,2024-11-20
MET000128,PROJ000180,Feature Adoption,13.74,2024-08-26
MET000129,PROJ000145,Feature Adoption,28.98,2025-11-30
MET000130,PROJ000053,Customer Satisfaction,20.67,2025-05-20
MET000131,PROJ000067,Net Promoter Score,80.57,2025-09-10
MET000132,PROJ000178,Monthly Active Users,54.22,2026-02-11
MET000133,PROJ000111,Sprint Velocity,0.5,2025-05-22
MET000134,PROJ000149,Deployment Frequency,81.9,2025-05-01
MET000135,PROJ000157,Deployment Frequency,23.24,2026-01-06
MET000136,PROJ000111,Sprint Velocity,41.71,2026-04-10
MET000137,PROJ000140,Retention Rate,39.54,2026-03-28
MET000138,PROJ000149,Net Promoter Score,33.17,2025-11-20
MET000139,PROJ000121,Feature Completion,61.5,2026-05-13
MET000140,PROJ000121,Net Promoter Score,47.72,2025-05-21
MET000141,PROJ000040,Feature Adoption,20.92,2026-02-05
MET000142,PROJ000131,Retention Rate,61.44,2025-02-18
MET000143,PROJ000059,Bug Resolution Rate,43.83,2026-05-12
MET000144,PROJ000188,Average Response Time,71.07,2026-06-12
MET000145,PROJ000200,Average Response Time,67.26,2025-07-31
MET000146,PROJ000184,Sprint Velocity,14.07,2026-01-06
MET000147,PROJ000220,Monthly Active Users,22.09,2025-03-13
MET000148,PROJ000232,Customer Satisfaction,86.19,2026-05-19
MET000149,PROJ000134,Feature Adoption,40.1,2025-10-21
MET000150,PROJ000179,Net Promoter Score,57.31,2024-11-09
MET000151,PROJ000153,Deployment Frequency,84.48,2025-01-01
MET000152,PROJ000180,Monthly Active Users,14.27,2025-07-29
MET000153,PROJ000074,Feature Completion,95.06,2025-08-02
MET000154,PROJ000103,Sprint Velocity,49.93,2025-02-02
MET000155,PROJ000084,Feature Completion,22.48,2025-10-13
MET000156,PROJ000205,Deployment Frequency,90.63,2026-02-07
MET000157,PROJ000230,Retention Rate,18.3,2025-08-23
MET000158,PROJ000082,Feature Adoption,46.13,2025-01-03
MET000159,PROJ000072,Feature Completion,86.71,2024-09-11
MET000160,PROJ000223,Feature Adoption,91.26,2025-05-09
MET000161,PROJ000166,Feature Completion,54.07,2025-05-01
MET000162,PROJ000001,Retention Rate,24.33,2026-01-25
MET000163,PROJ000098,Customer Satisfaction,83.03,2025-05-15
MET000164,PROJ000004,Feature Adoption,63.85,2025-06-04
MET000165,PROJ000096,Monthly Active Users,77.5,2024-10-01
MET000166,PROJ000146,Monthly Active Users,51.54,2024-11-02
MET000167,PROJ000113,Sprint Velocity,64.17,2026-03-02
MET000168,PROJ000025,Average Response Time,4.11,2025-12-13
MET000169,PROJ000182,Feature Completion,77.18,2024-12-07
MET000170,PROJ000168,Bug Resolution Rate,87.63,2025-06-21
MET000171,PROJ000109,Feature Completion,45.75,2025-11-24
MET000172,PROJ000060,Average Response Time,79.2,2026-04-02
MET000173,PROJ000152,Bug Resolution Rate,83.5,2024-10-24
MET000174,PROJ000010,Monthly Active Users,15.4,2024-11-10
MET000175,PROJ000002,Deployment Frequency,29.52,2025-05-02
MET000176,PROJ000195,Customer Satisfaction,72.18,2024-12-15
MET000177,PROJ000043,Net Promoter Score,53.19,2025-03-25
MET000178,PROJ000114,Sprint Velocity,79.38,2026-06-25
MET000179,PROJ000097,Bug Resolution Rate,97.04,2026-01-09
MET000180,PROJ000228,Average Response Time,22.4,2025-07-04
MET000181,PROJ000151,Deployment Frequency,45.77,2026-07-16
MET000182,PROJ000049,Retention Rate,35.87,2026-01-03
MET000183,PROJ000123,Retention Rate,5.87,2026-02-14
MET000184,PROJ000077,Customer Satisfaction,97.06,2024-10-04
MET000185,PROJ000020,Average Response Time,32.9,2025-01-30
MET000186,PROJ000049,Retention Rate,93.58,2024-07-28
MET000187,PROJ000013,Net Promoter Score,17.0,2026-07-01
MET000188,PROJ000057,Sprint Velocity,62.2,2026-04-04
MET000189,PROJ000118,Deployment Frequency,72.82,2025-01-17
MET000190,PROJ000016,Feature Adoption,64.42,2024-12-19
MET000191,PROJ000250,Feature Completion,30.29,2025-03-10
MET000192,PROJ000237,Sprint Velocity,3.71,2025-02-26
MET000193,PROJ000096,Feature Adoption,50.83,2026-01-21
MET000194,PROJ000168,Feature Completion,41.2,2025-03-25
MET000195,PROJ000152,Bug Resolution Rate,41.43,2026-03-01
MET000196,PROJ000110,Bug Resolution Rate,69.18,2025-12-21
MET000197,PROJ000071,Customer Satisfaction,55.94,2025-06-08
MET000198,PROJ000187,Monthly Active Users,65.74,2025-04-19
MET000199,PROJ000028,Feature Adoption,87.9,2025-02-10
MET000200,PROJ000150,Feature Adoption,22.73,2024-09-28
MET000201,PROJ000152,Sprint Velocity,48.02,2025-02-07
MET000202,PROJ000230,Deployment Frequency,45.17,2026-03-03
MET000203,PROJ000109,Bug Resolution Rate,56.96,2024-09-01
MET000204,PROJ000176,Average Response Time,41.17,2025-03-04
MET000205,PROJ000066,Deployment Frequency,47.53,2026-03-01
MET000206,PROJ000006,Deployment Frequency,53.84,2026-06-13
MET000207,PROJ000009,Feature Adoption,70.18,2025-08-30
MET000208,PROJ000156,Feature Completion,55.98,2024-12-28
MET000209,PROJ000174,Customer Satisfaction,9.21,2026-05-28
MET000210,PROJ000056,Deployment Frequency,90.38,2025-10-29
MET000211,PROJ000235,Sprint Velocity,1.61,2025-12-25
MET000212,PROJ000042,Net Promoter Score,8.57,2024-11-02
MET000213,PROJ000081,Monthly Active Users,35.16,2025-08-12
MET000214,PROJ000206,Feature Completion,31.92,2026-04-08
MET000215,PROJ000049,Deployment Frequency,72.08,2026-02-07
MET000216,PROJ000193,Customer Satisfaction,10.61,2025-07-03
MET000217,PROJ000241,Customer Satisfaction,50.83,2026-03-18
MET000218,PROJ000168,Feature Completion,32.26,2026-01-17
MET000219,PROJ000042,Feature Adoption,98.5,2026-04-01
MET000220,PROJ000220,Customer Satisfaction,88.52,2024-09-01
MET000221,PROJ000029,Average Response Time,17.85,2024-09-19
MET000222,PROJ000065,Net Promoter Score,15.4,2025-12-23
MET000223,PROJ000013,Customer Satisfaction,7.52,2025-06-24
MET000224,PROJ000040,Feature Adoption,7.73,2026-05-07
MET000225,PROJ000075,Net Promoter Score,86.24,2025-04-17
MET000226,PROJ000170,Feature Adoption,11.43,2025-11-06
MET000227,PROJ000186,Feature Adoption,32.92,2025-09-25
MET000228,PROJ000081,Feature Adoption,74.58,2026-03-06
MET000229,PROJ000179,Sprint Velocity,90.64,2026-02-12
MET000230,PROJ000114,Feature Adoption,28.82,2025-12-30
MET000231,PROJ000125,Bug Resolution Rate,96.3,2026-06-11
MET000232,PROJ000236,Feature Completion,73.12,2025-08-24
MET000233,PROJ000017,Bug Resolution Rate,43.5,2025-09-06
MET000234,PROJ000093,Sprint Velocity,48.09,2026-05-27
MET000235,PROJ000088,Average Response Time,99.59,2025-12-22
MET000236,PROJ000221,Monthly Active Users,17.24,2026-06-04
MET000237,PROJ000203,Customer Satisfaction,30.86,2025-02-22
MET000238,PROJ000241,Average Response Time,19.85,2025-12-31
MET000239,PROJ000124,Average Response Time,48.42,2026-02-10
MET000240,PROJ000100,Feature Completion,10.19,2026-06-25
MET000241,PROJ000173,Net Promoter Score,1.27,2025-07-26
MET000242,PROJ000028,Net Promoter Score,50.79,2026-05-26
MET000243,PROJ000004,Net Promoter Score,11.01,2025-01-02
MET000244,PROJ000015,Bug Resolution Rate,89.37,2025-11-23
MET000245,PROJ000083,Average Response Time,53.24,2025-02-01
MET000246,PROJ000100,Feature Completion,48.79,2024-12-16
MET000247,PROJ000005,Feature Completion,51.68,2026-05-22
MET000248,PROJ000138,Customer Satisfaction,94.92,2025-06-29
MET000249,PROJ000212,Retention Rate,25.65,2026-01-18
MET000250,PROJ000185,Monthly Active Users,80.42,2025-09-09
MET000251,PROJ000084,Sprint Velocity,39.84,2025-08-15
MET000252,PROJ000045,Retention Rate,40.86,2025-04-10
MET000253,PROJ000208,Sprint Velocity,6.08,2024-09-16
MET000254,PROJ000144,Deployment Frequency,75.81,2025-09-15
MET000255,PROJ000224,Average Response Time,59.64,2025-11-07
MET000256,PROJ000228,Monthly Active Users,69.95,2025-06-26
MET000257,PROJ000005,Average Response Time,76.61,2025-09-16
MET000258,PROJ000249,Customer Satisfaction,29.49,2026-03-29
MET000259,PROJ000101,Net Promoter Score,18.43,2025-11-15
MET000260,PROJ000187,Feature Completion,60.82,2025-11-01
MET000261,PROJ000186,Bug Resolution Rate,86.43,2026-05-17
MET000262,PROJ000029,Feature Adoption,50.97,2026-03-19
MET000263,PROJ000015,Monthly Active Users,46.45,2025-04-12
MET000264,PROJ000155,Bug Resolution Rate,42.36,2025-02-23
MET000265,PROJ000187,Bug Resolution Rate,56.65,2024-11-22
MET000266,PROJ000174,Sprint Velocity,47.12,2025-12-31
MET000267,PROJ000077,Monthly Active Users,85.22,2026-04-18
MET000268,PROJ000003,Customer Satisfaction,20.73,2025-02-17
MET000269,PROJ000003,Bug Resolution Rate,12.53,2025-05-02
MET000270,PROJ000206,Average Response Time,3.22,2025-03-18
MET000271,PROJ000168,Net Promoter Score,76.49,2024-09-23
MET000272,PROJ000078,Deployment Frequency,39.42,2025-04-10
MET000273,PROJ000225,Monthly Active Users,31.89,2026-01-22
MET000274,PROJ000128,Net Promoter Score,37.11,2026-01-27
MET000275,PROJ000211,Customer Satisfaction,27.5,2025-09-22
MET000276,PROJ000157,Deployment Frequency,31.11,2025-10-27
MET000277,PROJ000219,Feature Adoption,5.73,2025-08-04
MET000278,PROJ000195,Average Response Time,43.29,2025-12-15
MET000279,PROJ000204,Sprint Velocity,40.07,2025-03-07
MET000280,PROJ000027,Feature Adoption,15.87,2025-05-28
MET000281,PROJ000193,Retention Rate,26.89,2025-10-31
MET000282,PROJ000185,Feature Completion,5.64,2024-10-26
MET000283,PROJ000248,Retention Rate,40.49,2025-06-08
MET000284,PROJ000107,Customer Satisfaction,97.96,2024-12-29
MET000285,PROJ000088,Average Response Time,4.11,2025-10-01
MET000286,PROJ000078,Deployment Frequency,14.46,2024-12-19
MET000287,PROJ000020,Retention Rate,91.51,2025-07-10
MET000288,PROJ000136,Deployment Frequency,46.85,2025-08-10
MET000289,PROJ000043,Bug Resolution Rate,91.36,2025-07-27
MET000290,PROJ000040,Customer Satisfaction,8.79,2025-12-23
MET000291,PROJ000198,Deployment Frequency,28.27,2026-07-05
MET000292,PROJ000162,Net Promoter Score,22.1,2024-08-29
MET000293,PROJ000059,Monthly Active Users,24.28,2026-06-02
MET000294,PROJ000136,Net Promoter Score,39.15,2026-05-15
MET000295,PROJ000069,Deployment Frequency,43.24,2026-02-06
MET000296,PROJ000223,Bug Resolution Rate,99.41,2025-04-14
MET000297,PROJ000246,Deployment Frequency,83.17,2026-05-06
MET000298,PROJ000009,Feature Completion,24.09,2025-12-24
MET000299,PROJ000250,Bug Resolution Rate,14.7,2026-04-09
MET000300,PROJ000009,Retention Rate,78.44,2024-08-26
MET000301,PROJ000205,Feature Adoption,96.36,2025-01-22
MET000302,PROJ000209,Deployment Frequency,3.05,2025-02-09
MET000303,PROJ000004,Retention Rate,68.68,2026-02-04
MET000304,PROJ000127,Monthly Active Users,36.75,2024-10-03
MET000305,PROJ000026,Average Response Time,12.95,2024-12-03
MET000306,PROJ000209,Monthly Active Users,71.55,2025-09-15
MET000307,PROJ000125,Retention Rate,50.64,2025-01-08
MET000308,PROJ000072,Customer Satisfaction,62.9,2024-09-16
MET000309,PROJ000200,Net Promoter Score,58.86,2025-01-18
MET000310,PROJ000220,Feature Adoption,63.14,2024-09-28
MET000311,PROJ000226,Net Promoter Score,79.31,2024-08-04
MET000312,PROJ000217,Retention Rate,27.34,2025-07-05
MET000313,PROJ000199,Bug Resolution Rate,94.85,2025-01-18
MET000314,PROJ000206,Deployment Frequency,13.16,2025-07-10
MET000315,PROJ000209,Deployment Frequency,52.66,2026-01-06
MET000316,PROJ000006,Retention Rate,14.89,2026-02-08
MET000317,PROJ000138,Feature Completion,46.26,2025-07-23
MET000318,PROJ000136,Customer Satisfaction,58.47,2026-01-30
MET000319,PROJ000018,Feature Adoption,6.37,2025-09-24
MET000320,PROJ000118,Deployment Frequency,6.44,2025-03-05
MET000321,PROJ000231,Feature Completion,17.16,2025-04-05
MET000322,PROJ000014,Bug Resolution Rate,46.51,2026-06-24
MET000323,PROJ000070,Retention Rate,44.08,2026-04-24
MET000324,PROJ000214,Feature Completion,89.73,2025-10-18
MET000325,PROJ000230,Net Promoter Score,98.93,2026-04-06
MET000326,PROJ000192,Retention Rate,1.31,2025-05-29
MET000327,PROJ000225,Feature Adoption,57.43,2025-04-30
MET000328,PROJ000015,Feature Completion,39.61,2025-11-07
MET000329,PROJ000201,Monthly Active Users,67.44,2025-09-14
MET000330,PROJ000222,Monthly Active Users,54.85,2026-01-10
MET000331,PROJ000185,Feature Adoption,4.47,2026-03-20
MET000332,PROJ000106,Deployment Frequency,85.84,2026-02-10
MET000333,PROJ000063,Net Promoter Score,4.4,2024-08-17
MET000334,PROJ000019,Deployment Frequency,7.79,2024-11-04
MET000335,PROJ000141,Retention Rate,5.15,2025-03-23
MET000336,PROJ000014,Deployment Frequency,17.01,2026-03-29
MET000337,PROJ000044,Feature Adoption,19.19,2026-06-18
MET000338,PROJ000083,Deployment Frequency,5.98,2026-01-02
MET000339,PROJ000104,Monthly Active Users,10.91,2026-02-24
MET000340,PROJ000244,Bug Resolution Rate,46.85,2025-12-10
MET000341,PROJ000091,Monthly Active Users,33.37,2025-04-29
MET000342,PROJ000209,Bug Resolution Rate,98.54,2025-02-14
MET000343,PROJ000167,Feature Completion,10.3,2026-01-09
MET000344,PROJ000240,Bug Resolution Rate,10.89,2026-01-17
MET000345,PROJ000202,Deployment Frequency,33.59,2025-08-04
MET000346,PROJ000243,Retention Rate,41.76,2025-08-07
MET000347,PROJ000022,Feature Adoption,73.62,2026-02-16
MET000348,PROJ000085,Feature Completion,75.91,2025-10-16
MET000349,PROJ000122,Average Response Time,38.88,2026-05-20
MET000350,PROJ000080,Feature Completion,12.33,2025-08-10
MET000351,PROJ000173,Feature Adoption,92.07,2025-06-25
MET000352,PROJ000157,Monthly Active Users,29.47,2025-06-18
MET000353,PROJ000005,Retention Rate,35.06,2025-10-18
MET000354,PROJ000218,Sprint Velocity,81.13,2026-07-19
MET000355,PROJ000191,Monthly Active Users,96.32,2025-10-28
MET000356,PROJ000077,Average Response Time,84.9,2026-05-17
MET000357,PROJ000083,Average Response Time,67.29,2026-01-28
MET000358,PROJ000128,Feature Adoption,25.1,2026-02-17
MET000359,PROJ000144,Feature Completion,45.62,2026-02-09
MET000360,PROJ000129,Deployment Frequency,16.8,2025-05-02
MET000361,PROJ000177,Net Promoter Score,35.16,2026-01-27
MET000362,PROJ000153,Net Promoter Score,97.14,2025-02-24
MET000363,PROJ000174,Net Promoter Score,98.23,2026-04-28
MET000364,PROJ000088,Feature Completion,19.41,2026-02-07
MET000365,PROJ000095,Customer Satisfaction,58.08,2025-03-19
MET000366,PROJ000033,Sprint Velocity,58.37,2026-01-09
MET000367,PROJ000139,Bug Resolution Rate,52.64,2025-02-19
MET000368,PROJ000030,Sprint Velocity,45.47,2025-04-22
MET000369,PROJ000122,Average Response Time,99.0,2026-02-24
MET000370,PROJ000045,Deployment Frequency,35.29,2025-02-17
MET000371,PROJ000013,Feature Adoption,85.07,2025-04-29
MET000372,PROJ000250,Sprint Velocity,27.6,2024-12-07
MET000373,PROJ000217,Sprint Velocity,63.99,2024-11-10
MET000374,PROJ000213,Sprint Velocity,51.33,2026-06-12
MET000375,PROJ000036,Net Promoter Score,86.61,2025-03-27
MET000376,PROJ000165,Feature Completion,82.09,2025-02-24
MET000377,PROJ000209,Bug Resolution Rate,25.99,2026-05-08
MET000378,PROJ000029,Bug Resolution Rate,68.55,2025-02-10
MET000379,PROJ000019,Deployment Frequency,30.21,2025-04-03
MET000380,PROJ000091,Feature Completion,80.43,2025-08-04
MET000381,PROJ000197,Net Promoter Score,14.06,2026-03-23
MET000382,PROJ000062,Monthly Active Users,60.25,2025-09-09
MET000383,PROJ000217,Bug Resolution Rate,29.58,2025-01-05
MET000384,PROJ000077,Average Response Time,72.76,2025-11-14
MET000385,PROJ000016,Deployment Frequency,86.81,2026-02-04
MET000386,PROJ000024,Retention Rate,68.61,2026-06-19
MET000387,PROJ000020,Sprint Velocity,76.86,2025-11-12
MET000388,PROJ000188,Retention Rate,53.22,2025-10-09
MET000389,PROJ000041,Feature Adoption,17.01,2025-08-05
MET000390,PROJ000197,Customer Satisfaction,52.83,2024-11-29
MET000391,PROJ000124,Net Promoter Score,91.1,2025-10-11
MET000392,PROJ000065,Average Response Time,50.85,2026-02-23
MET000393,PROJ000225,Net Promoter Score,57.05,2026-04-11
MET000394,PROJ000225,Feature Completion,6.89,2024-08-30
MET000395,PROJ000193,Net Promoter Score,9.33,2025-09-10
MET000396,PROJ000139,Monthly Active Users,29.43,2026-03-29
MET000397,PROJ000030,Bug Resolution Rate,67.47,2026-02-07
MET000398,PROJ000096,Deployment Frequency,29.96,2025-08-06
MET000399,PROJ000191,Net Promoter Score,40.7,2026-02-08
MET000400,PROJ000168,Bug Resolution Rate,22.04,2024-10-14
MET000401,PROJ000135,Feature Adoption,62.3,2024-10-27
MET000402,PROJ000216,Sprint Velocity,31.61,2024-08-26
MET000403,PROJ000071,Deployment Frequency,93.28,2024-09-26
MET000404,PROJ000207,Sprint Velocity,65.49,2025-07-07
MET000405,PROJ000067,Net Promoter Score,96.05,2025-05-28
MET000406,PROJ000028,Average Response Time,58.72,2024-12-03
MET000407,PROJ000105,Customer Satisfaction,66.73,2024-11-08
MET000408,PROJ000125,Deployment Frequency,70.11,2026-01-11
MET000409,PROJ000018,Sprint Velocity,68.34,2025-01-25
MET000410,PROJ000246,Deployment Frequency,81.25,2026-01-19
MET000411,PROJ000146,Sprint Velocity,15.59,2024-09-01
MET000412,PROJ000034,Monthly Active Users,55.32,2026-05-13
MET000413,PROJ000246,Sprint Velocity,95.98,2025-05-03
MET000414,PROJ000143,Sprint Velocity,24.47,2025-10-13
MET000415,PROJ000010,Retention Rate,65.16,2025-03-20
MET000416,PROJ000205,Deployment Frequency,70.75,2024-10-22
MET000417,PROJ000177,Retention Rate,45.29,2024-08-30
MET000418,PROJ000082,Deployment Frequency,88.29,2025-08-18
MET000419,PROJ000095,Sprint Velocity,42.86,2025-01-24
MET000420,PROJ000213,Bug Resolution Rate,16.94,2026-04-25
MET000421,PROJ000010,Deployment Frequency,5.74,2025-04-28
MET000422,PROJ000126,Bug Resolution Rate,81.93,2025-09-14
MET000423,PROJ000108,Retention Rate,21.88,2025-11-02
MET000424,PROJ000168,Monthly Active Users,35.49,2025-06-18
MET000425,PROJ000179,Average Response Time,58.12,2025-09-14
MET000426,PROJ000186,Feature Completion,38.28,2026-02-05
MET000427,PROJ000152,Feature Completion,29.87,2026-06-13
MET000428,PROJ000059,Feature Adoption,54.88,2025-12-23
MET000429,PROJ000026,Monthly Active Users,39.15,2026-01-26
MET000430,PROJ000088,Average Response Time,52.33,2026-05-27
MET000431,PROJ000037,Bug Resolution Rate,77.14,2025-12-03
MET000432,PROJ000009,Sprint Velocity,50.13,2024-11-01
MET000433,PROJ000082,Feature Adoption,69.52,2026-06-01
MET000434,PROJ000061,Deployment Frequency,93.48,2025-08-10
MET000435,PROJ000161,Average Response Time,68.61,2024-08-26
MET000436,PROJ000229,Average Response Time,84.29,2025-11-30
MET000437,PROJ000218,Feature Completion,81.76,2026-07-14
MET000438,PROJ000046,Retention Rate,22.69,2026-03-24
MET000439,PROJ000224,Deployment Frequency,24.55,2025-07-06
MET000440,PROJ000109,Sprint Velocity,44.11,2025-07-11
MET000441,PROJ000084,Bug Resolution Rate,5.16,2025-01-21
