sprint_id,project_id,sprint_name,goal,status,start_date,end_date
SPR000081,PROJ000129,Sprint 81,Traditional religious economy tell instead majority carry majority.,Active,2024-09-27,2026-07-02
SPR000082,PROJ000042,Sprint 82,Media degree first people scientist.,Planned,2025-07-17,2025-12-15
SPR000083,PROJ000028,Sprint 83,Talk share Mrs fact husband soldier.,Planned,2026-03-06,2026-05-13
SPR000084,PROJ000098,Sprint 84,Program no way author effort.,Completed,2024-09-17,2024-12-09
SPR000085,PROJ000106,Sprint 85,On deep director few role far which.,Active,2025-08-18,2026-06-21
SPR000086,PROJ000111,Sprint 86,Instead there view rule along evidence.,Completed,2025-07-06,2026-02-01
SPR000087,PROJ000083,Sprint 87,A six national feel explain thought expect often.,Planned,2025-09-24,2026-05-01
SPR000088,PROJ000154,Sprint 88,Professional campaign learn throughout figure yard produce security.,Planned,2024-08-01,2024-08-16
SPR000089,PROJ000091,Sprint 89,Foot assume research huge cost source.,Active,2025-11-26,2026-08-01
SPR000090,PROJ000209,Sprint 90,Prove compare here no.,Completed,2025-06-26,2025-08-28
SPR000091,PROJ000044,Sprint 91,Class thing participant worry pattern exactly gas particularly.,Completed,2025-04-06,2025-06-04
SPR000092,PROJ000099,Sprint 92,Recent guy detail bag.,Planned,2024-12-14,2024-12-29
SPR000093,PROJ000099,Sprint 93,Yet better take cause sister.,Completed,2025-05-26,2026-03-26
SPR000094,PROJ000005,Sprint 94,Teacher when forward two all.,Planned,2025-09-10,2025-11-21
SPR000095,PROJ000042,Sprint 95,Role skill food art win.,Completed,2025-01-14,2026-08-19
SPR000096,PROJ000030,Sprint 96,Allow green thought development perhaps speech myself personal decade choose.,Active,2026-01-01,2026-08-09
SPR000097,PROJ000150,Sprint 97,Fear bit whom little support successful specific.,Completed,2025-04-15,2025-07-17
SPR000098,PROJ000177,Sprint 98,Partner early visit born student pull current.,Planned,2025-09-17,2025-12-15
SPR000099,PROJ000060,Sprint 99,Fine him involve trial government begin to never.,Completed,2025-05-18,2025-09-29
SPR000100,PROJ000245,Sprint 100,Day describe wonder job say.,Completed,2026-02-04,2026-08-04
SPR000101,PROJ000149,Sprint 101,Part suggest choose could indicate record it question child remain hospital.,Planned,2024-11-05,2026-07-27
SPR000102,PROJ000217,Sprint 102,Week economic garden moment quality style expert.,Completed,2025-03-30,2026-04-26
SPR000103,PROJ000204,Sprint 103,Dark key send effect history Mr find city budget trial.,Active,2026-03-20,2026-04-20
SPR000104,PROJ000031,Sprint 104,Concern rather compare power feel attack simple together fast benefit.,Active,2025-02-14,2026-04-05
SPR000105,PROJ000199,Sprint 105,Quite yet this each station final college pressure community.,Completed,2025-11-03,2026-01-14
SPR000106,PROJ000009,Sprint 106,More movie against sell late.,Active,2026-05-11,2026-08-12
SPR000107,PROJ000247,Sprint 107,Already image state several recently well.,Active,2026-04-09,2026-05-24
SPR000108,PROJ000034,Sprint 108,Author eye to popular food.,Planned,2025-08-02,2026-07-15
SPR000109,PROJ000127,Sprint 109,Control candidate about occur she student war range take like.,Planned,2024-12-28,2026-02-22
SPR000110,PROJ000203,Sprint 110,Take in former include risk send summer travel.,Completed,2026-01-09,2026-07-07
SPR000111,PROJ000129,Sprint 111,Finally seat positive manager boy receive.,Active,2025-03-11,2026-06-29
SPR000112,PROJ000020,Sprint 112,Top box morning drug air employee wear.,Active,2026-01-09,2026-05-21
SPR000113,PROJ000029,Sprint 113,Must candidate safe social whole technology know here require national.,Active,2025-01-31,2025-10-28
SPR000114,PROJ000173,Sprint 114,Magazine miss decade attention past believe.,Active,2026-03-27,2026-04-08
SPR000115,PROJ000048,Sprint 115,Simply east million oil change design government natural able sort.,Active,2025-11-24,2026-03-12
SPR000116,PROJ000170,Sprint 116,Project candidate night over admit loss purpose.,Completed,2025-05-11,2025-07-03
SPR000117,PROJ000142,Sprint 117,Company camera child bill store herself career relationship poor list.,Active,2024-09-19,2025-01-06
SPR000118,PROJ000050,Sprint 118,Blue our community the.,Planned,2025-03-14,2025-06-15
SPR000119,PROJ000023,Sprint 119,Rule grow material however here.,Active,2024-10-05,2024-10-07
SPR000120,PROJ000181,Sprint 120,Play allow well name training later above.,Planned,2026-03-15,2026-06-20
SPR000121,PROJ000138,Sprint 121,Sister music already discuss within keep.,Active,2025-07-16,2026-01-09
SPR000122,PROJ000147,Sprint 122,Laugh season then style face.,Completed,2025-12-07,2025-12-15
SPR000123,PROJ000224,Sprint 123,Control partner take actually begin or.,Completed,2026-02-12,2026-08-16
SPR000124,PROJ000086,Sprint 124,See fill pretty appear serious.,Completed,2025-07-04,2026-04-13
SPR000125,PROJ000221,Sprint 125,Western tell child plan phone speech hear toward yard here.,Completed,2026-01-26,2026-03-05
SPR000126,PROJ000047,Sprint 126,Herself today employee civil he religious relationship dinner.,Active,2025-10-13,2026-05-24
SPR000127,PROJ000057,Sprint 127,Job including good worry official admit.,Planned,2025-04-11,2026-08-13
SPR000128,PROJ000062,Sprint 128,Kitchen a majority especially rate she sense campaign whole night same.,Planned,2026-05-01,2026-05-28
SPR000129,PROJ000153,Sprint 129,Less general anyone popular situation close.,Active,2025-08-27,2026-01-29
SPR000130,PROJ000087,Sprint 130,Customer blue idea when top down offer.,Active,2025-03-28,2025-07-25
SPR000131,PROJ000004,Sprint 131,Without if other certainly government Mr policy country little cut.,Completed,2025-08-19,2026-01-03
SPR000132,PROJ000154,Sprint 132,Because according everyone soon big pull fast fight.,Completed,2024-11-22,2026-07-13
SPR000133,PROJ000035,Sprint 133,Method least middle certainly see vote member.,Active,2024-12-04,2025-11-15
SPR000134,PROJ000009,Sprint 134,Find strategy probably begin natural return sister away body.,Completed,2025-09-17,2026-08-01
SPR000135,PROJ000168,Sprint 135,Charge hope dinner road sound decide.,Planned,2025-04-22,2025-10-23
SPR000136,PROJ000216,Sprint 136,Give his board tell condition across anyone other south go.,Active,2026-03-02,2026-05-26
SPR000137,PROJ000070,Sprint 137,Produce guess speech play training yet hot whom exactly.,Planned,2024-11-06,2025-08-11
SPR000138,PROJ000096,Sprint 138,Court at stuff wall political those whatever action front story.,Completed,2026-03-08,2026-07-13
SPR000139,PROJ000237,Sprint 139,Character trip so financial father gun represent.,Planned,2024-11-01,2025-07-17
SPR000140,PROJ000144,Sprint 140,Exist per Mr stand others nice stop forget probably.,Active,2024-11-18,2025-10-06
SPR000141,PROJ000022,Sprint 141,Huge hundred either certainly just while whom everybody.,Planned,2025-12-07,2026-08-10
SPR000142,PROJ000001,Sprint 142,Allow them road run.,Planned,2025-01-02,2025-02-08
SPR000143,PROJ000136,Sprint 143,Our teacher establish seat.,Completed,2026-01-14,2026-07-09
SPR000144,PROJ000159,Sprint 144,Available marriage current western off site pretty recognize.,Planned,2024-08-14,2025-03-03
SPR000145,PROJ000164,Sprint 145,Surface fear nature hair green.,Planned,2025-07-15,2025-07-21
SPR000146,PROJ000172,Sprint 146,Structure much represent apply visit wear official weight different enough.,Active,2025-05-21,2026-06-29
SPR000147,PROJ000160,Sprint 147,Ground probably I throw chance later.,Planned,2025-10-21,2026-08-09
SPR000148,PROJ000155,Sprint 148,Long front detail down learn.,Active,2026-04-30,2026-05-12
SPR000149,PROJ000031,Sprint 149,Direction quite start listen control Mr.,Planned,2024-10-13,2026-08-11
SPR000150,PROJ000140,Sprint 150,Walk sometimes compare seat today discuss account center big.,Active,2026-04-03,2026-04-17
SPR000151,PROJ000222,Sprint 151,Might ok information drug probably action Democrat.,Completed,2025-11-11,2026-05-22
SPR000152,PROJ000145,Sprint 152,Ok oil growth those language language.,Completed,2025-02-17,2025-11-27
SPR000153,PROJ000196,Sprint 153,Card interview any make general lose piece she information maintain.,Active,2025-08-13,2026-05-18
SPR000154,PROJ000005,Sprint 154,In strong respond people reality.,Planned,2024-11-30,2025-05-22
SPR000155,PROJ000237,Sprint 155,Forward computer stop official represent speech program.,Completed,2025-08-07,2026-06-05
SPR000156,PROJ000160,Sprint 156,Last you into push eight crime professional many value themselves role.,Active,2026-01-13,2026-06-13
SPR000157,PROJ000068,Sprint 157,Break drive red team expert several method clear teacher.,Completed,2025-05-18,2026-04-19
SPR000158,PROJ000005,Sprint 158,Some choose whole win discover section wife audience.,Active,2024-07-28,2025-01-24
SPR000159,PROJ000153,Sprint 159,Wrong particular machine lose table room visit three where assume.,Active,2026-01-04,2026-07-08
SPR000160,PROJ000060,Sprint 160,Stand man memory author west seem light name general eat.,Active,2025-09-15,2026-03-23
SPR000161,PROJ000050,Sprint 161,World car experience still recently because author box event.,Planned,2025-08-03,2025-12-27
SPR000162,PROJ000002,Sprint 162,Speech level lawyer list world number poor science.,Planned,2024-08-03,2025-02-02
SPR000163,PROJ000178,Sprint 163,Even school hotel PM very water.,Active,2024-12-24,2026-02-20
SPR000164,PROJ000066,Sprint 164,Campaign ago wear drive which support local.,Planned,2024-11-18,2024-12-27
SPR000165,PROJ000011,Sprint 165,Sister notice oil part media religious successful voice scene where top.,Planned,2025-01-01,2026-02-13
SPR000166,PROJ000107,Sprint 166,Change charge from gun investment day film.,Completed,2026-04-08,2026-06-28
SPR000167,PROJ000149,Sprint 167,Various relationship building total big try open.,Completed,2024-07-27,2025-05-28
SPR000168,PROJ000020,Sprint 168,Successful Congress camera fish whatever involve other pressure test.,Active,2025-03-27,2026-02-18
SPR000169,PROJ000158,Sprint 169,Beyond government hit machine agree answer glass agent outside staff.,Completed,2025-10-02,2026-02-02
SPR000170,PROJ000209,Sprint 170,Surface stay their future.,Completed,2025-07-25,2026-06-21
SPR000171,PROJ000196,Sprint 171,Office century citizen not both maybe maintain.,Completed,2024-08-19,2026-02-22
SPR000172,PROJ000193,Sprint 172,Strategy alone go player for compare set.,Active,2025-09-16,2026-03-05
SPR000173,PROJ000185,Sprint 173,Pattern company dark maintain his all.,Planned,2026-03-02,2026-04-22
SPR000174,PROJ000001,Sprint 174,Hard election best me sit million on.,Completed,2026-03-27,2026-08-05
SPR000175,PROJ000210,Sprint 175,Behind father network go suggest probably.,Active,2025-04-15,2025-07-16
SPR000176,PROJ000192,Sprint 176,Range hospital kitchen present hospital look side.,Active,2026-01-24,2026-03-12
SPR000177,PROJ000073,Sprint 177,Before order light inside care in that stay become dog.,Planned,2026-05-05,2026-07-20
SPR000178,PROJ000194,Sprint 178,During hear police term.,Active,2026-04-20,2026-07-04
SPR000179,PROJ000200,Sprint 179,Somebody sure on under want agent later teach two road.,Completed,2024-08-12,2025-03-28
SPR000180,PROJ000048,Sprint 180,According government series choose leg east.,Completed,2025-08-04,2026-05-14
SPR000181,PROJ000002,Sprint 181,Rest bank number top authority test.,Completed,2026-03-07,2026-06-19
SPR000182,PROJ000003,Sprint 182,Total world resource child agent continue.,Planned,2025-09-14,2025-11-05
SPR000183,PROJ000063,Sprint 183,Fish next family significant college nearly you top memory series.,Active,2026-01-06,2026-06-12
SPR000184,PROJ000055,Sprint 184,Final rather down participant not.,Active,2025-04-04,2026-08-15
SPR000185,PROJ000163,Sprint 185,Fast station hundred gun explain glass item.,Active,2024-10-30,2024-11-23
SPR000186,PROJ000188,Sprint 186,Stage future action available loss recognize oil.,Completed,2026-05-30,2026-07-31
SPR000187,PROJ000155,Sprint 187,Far deal society act exist.,Active,2025-10-26,2026-03-06
SPR000188,PROJ000215,Sprint 188,Seat generation approach yet wall citizen strong to.,Completed,2024-11-21,2026-01-20
SPR000189,PROJ000137,Sprint 189,Door arrive respond four education practice near mention central.,Active,2025-09-02,2026-08-11
SPR000190,PROJ000235,Sprint 190,Much who sense until respond.,Completed,2025-06-26,2025-08-22
SPR000191,PROJ000050,Sprint 191,Their present other investment skill start.,Completed,2025-01-16,2025-04-02
SPR000192,PROJ000127,Sprint 192,Professor stuff nothing worry company major natural clearly fear put.,Active,2025-06-27,2025-12-09
SPR000193,PROJ000112,Sprint 193,Instead less but change response far.,Planned,2026-02-07,2026-06-30
SPR000194,PROJ000059,Sprint 194,Director kitchen commercial hold trouble customer.,Planned,2024-11-13,2026-05-10
SPR000195,PROJ000218,Sprint 195,Simply debate get line that decide them glass keep above.,Planned,2025-01-07,2025-11-29
SPR000196,PROJ000064,Sprint 196,Think half large government citizen.,Active,2025-12-13,2026-05-12
SPR000197,PROJ000117,Sprint 197,Ability mean weight on one.,Completed,2024-12-25,2026-06-29
SPR000198,PROJ000002,Sprint 198,See generation explain energy real.,Active,2026-06-18,2026-06-23
SPR000199,PROJ000185,Sprint 199,Quickly few thus pull research report manager crime imagine.,Active,2025-11-24,2026-02-27
SPR000200,PROJ000221,Sprint 200,Event fast fall operation area figure consider.,Completed,2025-01-21,2025-12-14
SPR000201,PROJ000045,Sprint 201,Goal leader stand cut administration everybody radio treatment help question threat.,Active,2025-03-30,2026-02-11
SPR000202,PROJ000067,Sprint 202,Even left what a would cut from arm during bring.,Planned,2026-02-06,2026-06-18
SPR000203,PROJ000232,Sprint 203,Chance candidate discuss result worker.,Planned,2025-01-19,2026-01-07
SPR000204,PROJ000159,Sprint 204,Live rise hot if job leave daughter professional service.,Active,2025-03-28,2025-08-16
SPR000205,PROJ000152,Sprint 205,Inside these what despite produce cell true color sometimes arm.,Active,2025-02-07,2026-02-26
SPR000206,PROJ000003,Sprint 206,Bad international relationship smile even among thousand.,Active,2026-01-01,2026-03-18
SPR000207,PROJ000147,Sprint 207,Husband after skill education laugh school another lay what heart.,Active,2025-09-06,2026-01-14
SPR000208,PROJ000010,Sprint 208,Discussion pay however form far product television husband.,Active,2025-10-05,2025-12-11
SPR000209,PROJ000039,Sprint 209,Seat break model see make either dog animal agency.,Completed,2026-02-01,2026-06-30
SPR000210,PROJ000042,Sprint 210,Parent teacher among agency much themselves turn all interview.,Active,2024-09-05,2026-02-10
SPR000211,PROJ000201,Sprint 211,Condition present why state month movie.,Completed,2025-04-05,2025-09-19
SPR000212,PROJ000210,Sprint 212,House much sea rock return street national where.,Active,2025-03-16,2025-10-21
SPR000213,PROJ000110,Sprint 213,Ready writer party under institution school unit meeting.,Planned,2026-02-21,2026-05-14
SPR000214,PROJ000220,Sprint 214,Professional thank speech than fear.,Completed,2024-12-07,2025-08-10
SPR000215,PROJ000027,Sprint 215,Seven design inside each event against.,Completed,2025-06-29,2026-02-11
SPR000216,PROJ000221,Sprint 216,Make through in himself speech firm stand after plant whatever.,Completed,2026-03-23,2026-05-03
SPR000217,PROJ000073,Sprint 217,Camera large goal win body start really participant.,Active,2025-06-10,2025-10-03
SPR000218,PROJ000036,Sprint 218,Can center crime enjoy go.,Planned,2025-04-04,2026-05-28
SPR000219,PROJ000250,Sprint 219,Bring need or option himself top.,Completed,2025-07-10,2025-07-25
SPR000220,PROJ000010,Sprint 220,Short tree positive turn science.,Active,2025-01-23,2025-12-02
SPR000221,PROJ000072,Sprint 221,Join defense back nice political.,Completed,2025-04-22,2025-11-01
SPR000222,PROJ000185,Sprint 222,Threat speech first agent learn go.,Planned,2026-03-19,2026-07-17
SPR000223,PROJ000201,Sprint 223,Cultural story increase region win lead interesting left rest along.,Completed,2024-12-29,2026-07-18
SPR000224,PROJ000222,Sprint 224,Conference clear bank how take pick interview simple any region.,Active,2026-04-06,2026-04-17
SPR000225,PROJ000194,Sprint 225,Item something price follow dream.,Planned,2025-06-09,2025-07-27
SPR000226,PROJ000069,Sprint 226,Interesting win artist girl clearly hold.,Active,2026-05-20,2026-06-21
SPR000227,PROJ000059,Sprint 227,Science teach single health painting TV yard start.,Completed,2026-01-28,2026-08-09
SPR000228,PROJ000245,Sprint 228,Go beat chance social power friend order story.,Active,2024-09-13,2026-05-28
SPR000229,PROJ000016,Sprint 229,Discuss brother Mr behavior small specific type mouth well.,Completed,2025-06-22,2025-07-13
SPR000230,PROJ000060,Sprint 230,Say institution catch Mrs again movement to piece.,Planned,2025-09-09,2026-01-03
SPR000231,PROJ000059,Sprint 231,Across anything outside soldier establish care thing whether.,Planned,2025-03-16,2025-11-02
SPR000232,PROJ000039,Sprint 232,World nearly with born ten professor your evidence.,Completed,2025-04-27,2026-07-16
SPR000233,PROJ000030,Sprint 233,Allow throughout often food whether world prepare here respond.,Planned,2025-07-08,2025-08-21
SPR000234,PROJ000198,Sprint 234,Four color adult big wall several.,Completed,2025-07-08,2026-02-04
SPR000235,PROJ000013,Sprint 235,Class economy next particular owner.,Active,2024-09-02,2025-11-26
SPR000236,PROJ000033,Sprint 236,Job smile city subject direction offer consumer behind.,Planned,2025-09-13,2026-02-07
SPR000237,PROJ000206,Sprint 237,Ok stand action its exist.,Planned,2024-10-05,2025-10-28
SPR000238,PROJ000008,Sprint 238,Health bill strategy good bag throw data kitchen.,Completed,2026-04-14,2026-06-03
SPR000239,PROJ000247,Sprint 239,Development several which soon building perform hour order response.,Planned,2025-04-29,2026-02-22
SPR000240,PROJ000219,Sprint 240,Management here significant while well data page trip mind.,Planned,2026-02-10,2026-04-05
SPR000241,PROJ000017,Sprint 241,Camera argue child population.,Completed,2025-10-28,2025-12-23
SPR000242,PROJ000090,Sprint 242,Situation final television push language thus second station.,Planned,2025-10-31,2026-03-09
SPR000243,PROJ000245,Sprint 243,Southern want new report administration offer check size describe several.,Planned,2025-11-08,2026-05-27
SPR000244,PROJ000062,Sprint 244,Strategy chance night article remain business.,Active,2026-03-09,2026-04-27
SPR000245,PROJ000133,Sprint 245,Environmental environment during trouble other remember walk need Democrat author.,Active,2024-08-21,2026-07-05
SPR000246,PROJ000233,Sprint 246,Become value value herself draw defense indeed adult least light develop.,Completed,2024-09-18,2024-11-27
SPR000247,PROJ000157,Sprint 247,Traditional marriage study rule difficult.,Completed,2025-06-01,2026-01-30
SPR000248,PROJ000004,Sprint 248,Town television TV apply music agreement bring others quickly.,Planned,2024-09-01,2025-02-28
SPR000249,PROJ000042,Sprint 249,Next off age bit agreement site must popular reach.,Completed,2025-12-14,2026-06-21
SPR000250,PROJ000176,Sprint 250,Take stay difficult board list young class result.,Planned,2025-10-01,2026-04-15
SPR000251,PROJ000218,Sprint 251,That leader back feel window.,Active,2025-12-07,2026-01-11
SPR000252,PROJ000200,Sprint 252,Pretty show item level small knowledge side feel relate.,Completed,2024-11-11,2025-05-25
SPR000253,PROJ000150,Sprint 253,Answer wall civil TV Mrs design more west.,Planned,2026-04-08,2026-08-16
SPR000254,PROJ000064,Sprint 254,Institution fill front clearly room exist there eat.,Planned,2024-11-18,2025-08-21
SPR000255,PROJ000100,Sprint 255,Concern recognize off get magazine could within.,Active,2026-01-23,2026-06-26
SPR000256,PROJ000225,Sprint 256,Mrs seem free major culture five.,Active,2025-09-21,2026-08-19
SPR000257,PROJ000194,Sprint 257,It rest heavy feel see even offer continue add.,Planned,2026-02-21,2026-04-30
SPR000258,PROJ000230,Sprint 258,Relationship tell while half exist.,Planned,2024-09-25,2025-06-10
SPR000259,PROJ000106,Sprint 259,Firm information much bank commercial personal board stuff.,Completed,2026-04-07,2026-08-15
SPR000260,PROJ000177,Sprint 260,Citizen man south information hair night theory pick.,Active,2026-01-12,2026-02-20
SPR000261,PROJ000194,Sprint 261,Employee rise perhaps play appear choose.,Completed,2025-01-25,2025-12-04
SPR000262,PROJ000019,Sprint 262,Director city door behind watch majority building tough.,Planned,2026-03-26,2026-04-27
SPR000263,PROJ000070,Sprint 263,Receive ten writer quickly fly.,Active,2026-06-02,2026-08-21
SPR000264,PROJ000025,Sprint 264,Senior include part short anything price from reach management option.,Planned,2026-05-23,2026-06-03
