feature_id,project_id,feature_name,priority,status,estimated_story_points,created_at
FEAT000060,PROJ000104,Dark Mode,Low,Backlog,7,2024-08-07
FEAT000061,PROJ000091,Notification Center,Medium,Testing,18,2025-07-24
FEAT000062,PROJ000081,Dark Mode,Medium,Released,10,2025-04-24
FEAT000063,PROJ000204,Multi-language Support,Medium,Released,18,2025-06-18
FEAT000064,PROJ000092,Mobile Optimization,Critical,Planned,8,2026-04-14
FEAT000065,PROJ000183,Notification Center,Critical,Planned,3,2026-05-27
FEAT000066,PROJ000101,Roadmap View,Medium,In Development,14,2026-01-19
FEAT000067,PROJ000212,Analytics Widgets,Medium,Backlog,21,2024-12-03
FEAT000068,PROJ000063,Custom Reports,High,Backlog,18,2025-04-29
FEAT000069,PROJ000220,Mobile Optimization,Medium,Testing,3,2026-05-13
FEAT000070,PROJ000025,Dark Mode,High,Planned,9,2025-08-13
FEAT000071,PROJ000235,Roadmap View,Low,Planned,3,2025-03-25
FEAT000072,PROJ000068,Custom Reports,Medium,Testing,21,2025-10-16
FEAT000073,PROJ000149,Mobile Optimization,Medium,Backlog,12,2024-10-15
FEAT000074,PROJ000234,Custom Reports,High,Released,19,2025-05-24
FEAT000075,PROJ000022,API Enhancements,Medium,Released,3,2025-12-22
FEAT000076,PROJ000237,Workflow Automation,High,Planned,8,2024-10-03
FEAT000077,PROJ000078,Slack Integration,High,In Development,16,2025-06-07
FEAT000078,PROJ000228,Role Based Access,Low,Released,19,2025-03-29
FEAT000079,PROJ000043,Dark Mode,Medium,Testing,3,2025-10-05
FEAT000080,PROJ000193,Notification Center,Low,In Development,19,2025-03-28
FEAT000081,PROJ000003,Notification Center,Medium,Released,10,2024-10-02
FEAT000082,PROJ000013,API Enhancements,High,In Development,20,2025-10-04
FEAT000083,PROJ000078,AI Insights,High,Planned,18,2026-03-15
FEAT000084,PROJ000138,Search Improvements,Low,Released,6,2024-11-23
FEAT000085,PROJ000122,API Enhancements,Low,Backlog,10,2026-02-15
FEAT000086,PROJ000183,Analytics Widgets,Critical,Released,9,2025-02-15
FEAT000087,PROJ000119,Search Improvements,Low,In Development,5,2025-06-14
FEAT000088,PROJ000249,Dark Mode,Low,Planned,19,2025-06-23
FEAT000089,PROJ000144,API Enhancements,Medium,Planned,15,2024-09-20
FEAT000090,PROJ000187,Mobile Optimization,High,Backlog,6,2026-01-08
FEAT000091,PROJ000147,Custom Reports,Critical,Testing,16,2025-03-11
FEAT000092,PROJ000116,Dark Mode,Medium,Testing,3,2026-02-11
FEAT000093,PROJ000055,Custom Reports,Low,Planned,17,2026-02-15
FEAT000094,PROJ000191,Notification Center,High,Testing,5,2025-11-25
FEAT000095,PROJ000177,Roadmap View,Low,Planned,17,2026-01-23
FEAT000096,PROJ000112,Workflow Automation,Low,Planned,14,2025-11-09
FEAT000097,PROJ000057,Roadmap View,High,Backlog,12,2026-02-06
FEAT000098,PROJ000074,Workflow Automation,Low,Testing,15,2025-12-12
FEAT000099,PROJ000165,Roadmap View,High,In Development,1,2025-11-16
FEAT000100,PROJ000001,Custom Reports,Critical,Backlog,3,2025-10-18
FEAT000101,PROJ000177,PDF Export,Medium,Released,18,2025-05-19
FEAT000102,PROJ000046,Search Improvements,High,In Development,20,2024-08-22
FEAT000103,PROJ000161,Dark Mode,Low,In Development,4,2026-03-26
FEAT000104,PROJ000165,Slack Integration,Critical,Planned,11,2024-10-05
FEAT000105,PROJ000161,Analytics Widgets,Critical,In Development,17,2026-03-13
FEAT000106,PROJ000183,AI Insights,Critical,Backlog,14,2026-06-23
FEAT000107,PROJ000038,Role Based Access,Low,Backlog,11,2026-06-17
FEAT000108,PROJ000159,Analytics Widgets,Low,Released,11,2025-02-16
FEAT000109,PROJ000030,Advanced Dashboard,Critical,Backlog,13,2026-06-28
FEAT000110,PROJ000155,Advanced Dashboard,Critical,In Development,20,2025-06-26
FEAT000111,PROJ000022,Workflow Automation,High,Backlog,13,2025-08-03
FEAT000112,PROJ000109,Slack Integration,Critical,In Development,2,2024-11-27
FEAT000113,PROJ000034,API Enhancements,Critical,Testing,11,2025-11-30
FEAT000114,PROJ000201,Advanced Dashboard,Low,In Development,5,2025-03-29
FEAT000115,PROJ000220,Mobile Optimization,Medium,Released,18,2025-01-05
FEAT000116,PROJ000133,Multi-language Support,High,Released,2,2025-08-25
FEAT000117,PROJ000140,AI Insights,Critical,In Development,20,2026-04-10
FEAT000118,PROJ000010,API Enhancements,High,Planned,16,2025-02-13
FEAT000119,PROJ000149,Mobile Optimization,Medium,Released,8,2025-08-19
FEAT000120,PROJ000023,Slack Integration,Low,Backlog,17,2026-04-10
FEAT000121,PROJ000139,Workflow Automation,High,Backlog,4,2025-03-16
FEAT000122,PROJ000072,Search Improvements,Low,Testing,17,2025-04-27
FEAT000123,PROJ000013,Analytics Widgets,High,Planned,18,2025-11-04
FEAT000124,PROJ000233,Notification Center,Critical,Planned,18,2026-04-19
FEAT000125,PROJ000180,Dark Mode,Critical,Testing,3,2024-12-13
FEAT000126,PROJ000033,Role Based Access,Low,Released,13,2025-02-17
FEAT000127,PROJ000145,Analytics Widgets,Critical,Planned,12,2026-07-08
FEAT000128,PROJ000245,Notification Center,Medium,Planned,11,2026-06-23
FEAT000129,PROJ000057,Slack Integration,High,Released,7,2024-12-18
FEAT000130,PROJ000127,AI Insights,Low,In Development,17,2025-10-19
FEAT000131,PROJ000004,AI Insights,High,Planned,4,2024-10-30
FEAT000132,PROJ000094,Dark Mode,Medium,Planned,5,2025-11-07
FEAT000133,PROJ000145,Mobile Optimization,High,In Development,20,2025-02-18
FEAT000134,PROJ000018,Custom Reports,High,Released,13,2024-08-24
FEAT000135,PROJ000131,Roadmap View,Critical,In Development,9,2025-05-18
FEAT000136,PROJ000056,Analytics Widgets,High,Backlog,4,2024-11-14
FEAT000137,PROJ000156,Role Based Access,Medium,Testing,16,2025-01-14
FEAT000138,PROJ000147,Dark Mode,Critical,Released,7,2025-07-23
FEAT000139,PROJ000021,PDF Export,High,In Development,19,2025-06-17
FEAT000140,PROJ000113,Custom Reports,Low,Planned,9,2025-12-10
FEAT000141,PROJ000230,PDF Export,Low,Testing,18,2024-10-09
FEAT000142,PROJ000210,Mobile Optimization,High,Backlog,10,2025-01-01
FEAT000143,PROJ000169,Roadmap View,Low,Backlog,15,2025-11-08
FEAT000144,PROJ000108,Slack Integration,Low,Released,5,2025-04-12
FEAT000145,PROJ000162,Custom Reports,Medium,In Development,20,2025-09-07
FEAT000146,PROJ000136,Dark Mode,Low,Testing,12,2026-07-03
FEAT000147,PROJ000050,Dark Mode,High,Planned,18,2025-05-04
FEAT000148,PROJ000071,AI Insights,Critical,In Development,1,2025-09-16
FEAT000149,PROJ000084,PDF Export,High,Planned,8,2025-05-24
FEAT000150,PROJ000057,API Enhancements,High,Planned,2,2025-07-14
FEAT000151,PROJ000106,Dark Mode,Low,Planned,14,2024-10-21
FEAT000152,PROJ000098,Analytics Widgets,Critical,Planned,4,2025-01-29
FEAT000153,PROJ000162,Advanced Dashboard,Low,Testing,1,2025-10-15
FEAT000154,PROJ000203,Notification Center,High,Planned,18,2025-11-17
FEAT000155,PROJ000003,Advanced Dashboard,Medium,Testing,8,2024-07-26
FEAT000156,PROJ000239,API Enhancements,Medium,In Development,17,2026-04-26
FEAT000157,PROJ000241,API Enhancements,Critical,Released,4,2026-04-26
FEAT000158,PROJ000228,Multi-language Support,High,Testing,20,2025-01-03
FEAT000159,PROJ000247,Search Improvements,Critical,In Development,2,2026-05-01
FEAT000160,PROJ000095,Mobile Optimization,High,Backlog,18,2025-11-03
FEAT000161,PROJ000242,Mobile Optimization,High,Released,19,2025-04-27
FEAT000162,PROJ000222,Roadmap View,High,Testing,20,2024-10-12
FEAT000163,PROJ000239,PDF Export,Low,In Development,8,2025-11-13
FEAT000164,PROJ000014,Workflow Automation,Critical,Released,15,2025-11-14
FEAT000165,PROJ000215,Multi-language Support,Medium,Released,3,2025-10-14
FEAT000166,PROJ000222,Roadmap View,High,Backlog,7,2026-06-06
FEAT000167,PROJ000111,Role Based Access,Low,Backlog,8,2024-11-19
FEAT000168,PROJ000230,Role Based Access,Critical,Backlog,18,2024-10-27
FEAT000169,PROJ000135,Search Improvements,Critical,Released,15,2026-04-10
FEAT000170,PROJ000245,Slack Integration,Low,Released,6,2026-02-19
FEAT000171,PROJ000149,Search Improvements,Low,In Development,8,2024-11-02
FEAT000172,PROJ000080,Role Based Access,Low,Testing,15,2025-08-25
FEAT000173,PROJ000133,Workflow Automation,Critical,Testing,6,2026-01-08
FEAT000174,PROJ000052,Search Improvements,Medium,Backlog,19,2025-09-04
FEAT000175,PROJ000016,Roadmap View,Low,In Development,14,2026-07-17
FEAT000176,PROJ000171,Role Based Access,High,In Development,15,2025-03-16
FEAT000177,PROJ000168,Slack Integration,High,Backlog,7,2026-02-03
FEAT000178,PROJ000124,Slack Integration,Low,Planned,21,2026-05-20
FEAT000179,PROJ000169,Custom Reports,Medium,Released,15,2025-11-23
FEAT000180,PROJ000104,PDF Export,Critical,Testing,21,2026-05-05
FEAT000181,PROJ000083,Role Based Access,Critical,Planned,17,2024-12-29
FEAT000182,PROJ000155,Roadmap View,Medium,Planned,6,2026-05-15
FEAT000183,PROJ000021,Custom Reports,Critical,In Development,13,2026-04-10
FEAT000184,PROJ000225,AI Insights,Critical,Backlog,7,2026-04-28
FEAT000185,PROJ000099,Custom Reports,High,In Development,17,2026-02-09
FEAT000186,PROJ000222,Dark Mode,Critical,In Development,7,2026-01-14
FEAT000187,PROJ000244,Notification Center,Medium,Testing,13,2026-05-11
FEAT000188,PROJ000138,Role Based Access,Critical,Released,21,2025-02-19
FEAT000189,PROJ000142,Custom Reports,Medium,Backlog,15,2025-10-31
FEAT000190,PROJ000142,Role Based Access,Low,Released,18,2025-11-08
FEAT000191,PROJ000175,Search Improvements,Low,Released,4,2025-12-06
FEAT000192,PROJ000214,PDF Export,Medium,In Development,1,2025-07-11
FEAT000193,PROJ000077,API Enhancements,High,Backlog,19,2026-03-25
FEAT000194,PROJ000173,AI Insights,Medium,Planned,9,2025-04-09
FEAT000195,PROJ000125,AI Insights,Medium,Testing,21,2026-05-11
FEAT000196,PROJ000217,Multi-language Support,Medium,In Development,11,2025-12-22
FEAT000197,PROJ000169,Notification Center,Critical,Backlog,19,2025-08-19
FEAT000198,PROJ000045,Mobile Optimization,Low,Testing,5,2024-08-14
FEAT000199,PROJ000019,API Enhancements,Medium,Backlog,8,2025-10-16
FEAT000200,PROJ000062,AI Insights,Low,In Development,18,2025-05-18
FEAT000201,PROJ000112,Dark Mode,High,Backlog,13,2025-10-01
FEAT000202,PROJ000149,Analytics Widgets,Low,Planned,17,2025-12-11
FEAT000203,PROJ000088,Mobile Optimization,Medium,Planned,16,2025-05-13
FEAT000204,PROJ000093,Role Based Access,Medium,In Development,9,2025-07-20
FEAT000205,PROJ000182,Roadmap View,Low,Released,21,2025-07-27
FEAT000206,PROJ000037,Roadmap View,Low,Released,16,2025-06-11
FEAT000207,PROJ000142,PDF Export,Medium,Backlog,7,2024-08-21
FEAT000208,PROJ000077,Mobile Optimization,Low,Testing,8,2024-12-04
FEAT000209,PROJ000149,AI Insights,High,Testing,9,2025-03-22
FEAT000210,PROJ000108,Multi-language Support,Low,Released,2,2024-10-22
FEAT000211,PROJ000113,Advanced Dashboard,Medium,Backlog,14,2025-09-26
FEAT000212,PROJ000041,API Enhancements,High,In Development,10,2024-09-19
FEAT000213,PROJ000120,Slack Integration,High,Released,7,2025-10-15
FEAT000214,PROJ000229,Mobile Optimization,Low,Planned,14,2026-01-17
FEAT000215,PROJ000032,Workflow Automation,High,Backlog,10,2024-10-26
FEAT000216,PROJ000157,PDF Export,Low,Testing,11,2025-05-31
FEAT000217,PROJ000008,Custom Reports,High,Released,17,2026-02-05
FEAT000218,PROJ000171,Search Improvements,Critical,In Development,6,2026-05-20
FEAT000219,PROJ000182,Analytics Widgets,Medium,Backlog,4,2024-09-09
FEAT000220,PROJ000088,PDF Export,Medium,Testing,18,2025-08-30
FEAT000221,PROJ000102,Multi-language Support,Medium,Backlog,16,2026-03-16
FEAT000222,PROJ000124,Mobile Optimization,High,In Development,7,2024-08-22
FEAT000223,PROJ000161,Custom Reports,High,Planned,5,2025-12-12
FEAT000224,PROJ000192,Search Improvements,High,Planned,18,2025-06-14
FEAT000225,PROJ000164,Search Improvements,Low,Backlog,11,2025-12-03
FEAT000226,PROJ000101,Analytics Widgets,High,Testing,16,2025-11-25
FEAT000227,PROJ000189,Role Based Access,Critical,Testing,19,2025-07-25
FEAT000228,PROJ000179,API Enhancements,Low,Planned,6,2026-05-04
FEAT000229,PROJ000016,Slack Integration,Critical,Released,20,2025-12-13
FEAT000230,PROJ000182,Custom Reports,Critical,In Development,21,2025-10-01
FEAT000231,PROJ000092,Mobile Optimization,Medium,Planned,20,2026-05-06
FEAT000232,PROJ000144,Advanced Dashboard,Low,Testing,16,2025-09-24
FEAT000233,PROJ000124,Notification Center,Low,Backlog,19,2025-01-06
FEAT000234,PROJ000135,Analytics Widgets,Low,In Development,18,2025-03-23
FEAT000235,PROJ000191,Advanced Dashboard,High,Planned,3,2025-01-04
FEAT000236,PROJ000179,API Enhancements,Critical,Planned,17,2025-09-07
FEAT000237,PROJ000126,Multi-language Support,Critical,In Development,1,2026-03-06
FEAT000238,PROJ000096,AI Insights,Low,Released,21,2024-08-27
FEAT000239,PROJ000250,AI Insights,Critical,Planned,17,2025-10-28
FEAT000240,PROJ000076,PDF Export,Low,Testing,6,2026-02-17
FEAT000241,PROJ000159,Roadmap View,Medium,In Development,4,2025-12-09
FEAT000242,PROJ000197,Workflow Automation,Low,Testing,17,2025-10-11
FEAT000243,PROJ000196,Advanced Dashboard,Medium,Backlog,9,2025-08-21
FEAT000244,PROJ000168,Notification Center,High,Backlog,7,2025-06-30
FEAT000245,PROJ000092,Analytics Widgets,Critical,In Development,17,2026-03-04
FEAT000246,PROJ000004,Slack Integration,High,Testing,18,2024-07-30
FEAT000247,PROJ000142,Mobile Optimization,Critical,In Development,17,2026-07-10
FEAT000248,PROJ000066,Search Improvements,High,Planned,11,2025-09-19
FEAT000249,PROJ000021,Multi-language Support,High,Planned,16,2025-03-31
FEAT000250,PROJ000242,Workflow Automation,High,In Development,16,2025-10-21
FEAT000251,PROJ000128,Custom Reports,High,In Development,20,2026-03-07
FEAT000252,PROJ000181,Dark Mode,Medium,Released,7,2026-06-10
FEAT000253,PROJ000171,Workflow Automation,Low,Backlog,7,2024-10-08
FEAT000254,PROJ000163,Notification Center,Low,In Development,8,2026-07-10
FEAT000255,PROJ000167,Dark Mode,Medium,Released,8,2024-10-13
FEAT000256,PROJ000098,PDF Export,Critical,Released,4,2024-08-28
FEAT000257,PROJ000204,Slack Integration,Medium,Released,2,2024-10-27
FEAT000258,PROJ000177,Workflow Automation,Medium,In Development,21,2026-02-11
FEAT000259,PROJ000245,Workflow Automation,Critical,Released,18,2026-06-18
FEAT000260,PROJ000226,Multi-language Support,Medium,Backlog,9,2025-06-03
FEAT000261,PROJ000100,PDF Export,Medium,Planned,2,2025-08-25
FEAT000262,PROJ000131,Custom Reports,Critical,Backlog,18,2025-08-17
FEAT000263,PROJ000130,Slack Integration,Medium,Released,19,2025-01-08
FEAT000264,PROJ000151,Custom Reports,Low,Testing,18,2026-03-06
FEAT000265,PROJ000195,Role Based Access,Low,Backlog,13,2025-06-30
FEAT000266,PROJ000143,Dark Mode,High,In Development,15,2025-07-07
FEAT000267,PROJ000133,PDF Export,Low,Released,21,2026-02-07
FEAT000268,PROJ000203,Workflow Automation,Medium,In Development,19,2025-07-06
FEAT000269,PROJ000062,Roadmap View,High,Testing,12,2026-03-22
FEAT000270,PROJ000154,Roadmap View,Critical,Backlog,13,2026-03-19
FEAT000271,PROJ000188,Analytics Widgets,Critical,Backlog,12,2026-02-21
FEAT000272,PROJ000047,Mobile Optimization,Low,Backlog,18,2025-11-08
FEAT000273,PROJ000212,Search Improvements,Critical,Planned,1,2025-03-20
FEAT000274,PROJ000026,AI Insights,High,Backlog,18,2025-04-07
FEAT000275,PROJ000016,Notification Center,Medium,Released,15,2026-01-27
FEAT000276,PROJ000193,Role Based Access,Low,Released,13,2025-09-05
FEAT000277,PROJ000039,PDF Export,Medium,Released,17,2026-03-16
FEAT000278,PROJ000037,API Enhancements,High,Backlog,5,2025-11-12
FEAT000279,PROJ000141,Custom Reports,Critical,Testing,16,2025-09-02
FEAT000280,PROJ000003,Multi-language Support,High,Testing,10,2025-10-07
FEAT000281,PROJ000191,Advanced Dashboard,High,In Development,2,2026-05-28
FEAT000282,PROJ000231,Analytics Widgets,High,Testing,21,2024-08-18
FEAT000283,PROJ000047,Mobile Optimization,Medium,In Development,12,2024-12-10
FEAT000284,PROJ000057,Workflow Automation,Critical,In Development,6,2024-10-25
FEAT000285,PROJ000041,PDF Export,Low,Backlog,3,2025-03-31
FEAT000286,PROJ000246,Workflow Automation,Low,Planned,13,2025-12-01
FEAT000287,PROJ000054,Workflow Automation,Medium,In Development,15,2026-02-24
FEAT000288,PROJ000171,Workflow Automation,Low,Planned,3,2025-08-10
FEAT000289,PROJ000154,Slack Integration,Critical,Testing,7,2025-01-03
FEAT000290,PROJ000173,Mobile Optimization,Low,Planned,19,2024-12-21
FEAT000291,PROJ000109,Roadmap View,Low,Planned,12,2026-03-13
FEAT000292,PROJ000237,PDF Export,Low,Planned,5,2024-08-19
FEAT000293,PROJ000180,API Enhancements,Critical,In Development,2,2026-01-04
FEAT000294,PROJ000196,Role Based Access,Critical,Testing,8,2025-11-09
FEAT000295,PROJ000188,Analytics Widgets,Critical,Backlog,1,2025-04-04
FEAT000296,PROJ000087,Advanced Dashboard,Low,In Development,7,2026-05-24
FEAT000297,PROJ000043,Advanced Dashboard,Low,Backlog,2,2026-07-11
FEAT000298,PROJ000234,AI Insights,Low,Released,11,2025-06-06
FEAT000299,PROJ000204,PDF Export,Low,Released,2,2026-05-18
FEAT000300,PROJ000055,PDF Export,Low,In Development,2,2026-03-11
FEAT000301,PROJ000060,Advanced Dashboard,Low,Planned,6,2025-02-11
FEAT000302,PROJ000010,AI Insights,Low,Planned,8,2026-01-21
FEAT000303,PROJ000148,Advanced Dashboard,High,Planned,14,2025-07-26
FEAT000304,PROJ000116,Custom Reports,Medium,Planned,6,2025-02-04
FEAT000305,PROJ000121,Advanced Dashboard,High,Released,1,2024-12-05
FEAT000306,PROJ000213,Advanced Dashboard,Critical,Released,2,2024-09-24
FEAT000307,PROJ000181,Workflow Automation,High,Testing,11,2026-01-11
FEAT000308,PROJ000088,Mobile Optimization,High,In Development,6,2024-08-11
FEAT000309,PROJ000123,Search Improvements,Low,Planned,3,2025-07-24
FEAT000310,PROJ000100,Search Improvements,Medium,Released,1,2025-04-06
FEAT000311,PROJ000067,Roadmap View,Medium,In Development,11,2025-03-29
FEAT000312,PROJ000017,Slack Integration,Medium,Planned,15,2025-02-26
FEAT000313,PROJ000166,Advanced Dashboard,Low,Released,13,2025-01-31
FEAT000314,PROJ000229,AI Insights,Critical,Backlog,6,2024-12-25
FEAT000315,PROJ000019,AI Insights,Low,Testing,10,2025-06-11
FEAT000316,PROJ000028,API Enhancements,Low,Released,1,2026-04-06
FEAT000317,PROJ000249,Search Improvements,Medium,Backlog,13,2025-05-25
FEAT000318,PROJ000055,Roadmap View,Critical,Testing,19,2025-07-07
FEAT000319,PROJ000140,API Enhancements,High,Backlog,10,2025-09-08
FEAT000320,PROJ000213,Advanced Dashboard,High,Testing,10,2024-07-29
FEAT000321,PROJ000199,AI Insights,Low,In Development,5,2025-11-21
FEAT000322,PROJ000085,AI Insights,Low,Released,7,2025-09-05
FEAT000323,PROJ000019,Role Based Access,High,Backlog,13,2024-10-24
FEAT000324,PROJ000031,AI Insights,High,In Development,3,2026-02-04
FEAT000325,PROJ000095,Custom Reports,High,Planned,21,2026-04-17
FEAT000326,PROJ000035,Mobile Optimization,Medium,Testing,14,2026-04-26
FEAT000327,PROJ000108,Role Based Access,Critical,Testing,5,2026-07-16
FEAT000328,PROJ000029,API Enhancements,Low,Released,9,2025-10-20
FEAT000329,PROJ000012,Slack Integration,Critical,Planned,16,2026-06-07
FEAT000330,PROJ000165,Custom Reports,High,Planned,4,2026-02-13
FEAT000331,PROJ000056,Role Based Access,Low,Released,20,2024-09-17
FEAT000332,PROJ000032,Analytics Widgets,Low,Planned,3,2024-10-11
FEAT000333,PROJ000162,Notification Center,Medium,Testing,17,2026-01-30
FEAT000334,PROJ000079,Role Based Access,Medium,Released,7,2025-04-27
FEAT000335,PROJ000100,Advanced Dashboard,Critical,Planned,11,2026-07-12
FEAT000336,PROJ000171,PDF Export,Low,Planned,10,2024-08-18
FEAT000337,PROJ000215,Slack Integration,Medium,Released,1,2026-05-05
FEAT000338,PROJ000193,Analytics Widgets,High,Released,4,2026-01-13
FEAT000339,PROJ000006,PDF Export,Low,In Development,5,2024-08-04
FEAT000340,PROJ000094,Multi-language Support,High,Released,1,2025-04-16
FEAT000341,PROJ000077,Analytics Widgets,Critical,Testing,5,2025-06-22
FEAT000342,PROJ000137,Multi-language Support,Medium,In Development,4,2025-03-19
FEAT000343,PROJ000084,Custom Reports,High,In Development,4,2025-07-27
FEAT000344,PROJ000095,Mobile Optimization,Low,Backlog,4,2025-07-10
FEAT000345,PROJ000178,Mobile Optimization,Low,In Development,9,2026-06-03
FEAT000346,PROJ000002,Roadmap View,Low,In Development,11,2025-10-01
FEAT000347,PROJ000117,AI Insights,Medium,Released,11,2026-04-08
FEAT000348,PROJ000118,Multi-language Support,High,Testing,5,2025-02-16
FEAT000349,PROJ000141,PDF Export,Low,Testing,7,2026-03-30
FEAT000350,PROJ000102,Advanced Dashboard,Critical,Planned,2,2026-02-28
FEAT000351,PROJ000022,Roadmap View,Critical,Planned,14,2025-08-23
FEAT000352,PROJ000170,Multi-language Support,Low,Planned,15,2025-10-15
FEAT000353,PROJ000118,Slack Integration,Medium,Testing,3,2025-02-05
FEAT000354,PROJ000249,AI Insights,Low,Backlog,1,2026-04-13
FEAT000355,PROJ000090,Multi-language Support,Critical,Testing,9,2025-04-06
FEAT000356,PROJ000024,Dark Mode,High,In Development,16,2024-09-09
FEAT000357,PROJ000015,Search Improvements,Medium,Testing,9,2026-04-26
FEAT000358,PROJ000141,API Enhancements,Medium,Released,15,2025-11-12
FEAT000359,PROJ000018,Analytics Widgets,Critical,Released,4,2026-07-04
FEAT000360,PROJ000075,Search Improvements,High,Released,3,2026-02-08
FEAT000361,PROJ000069,Custom Reports,Low,Testing,20,2024-09-20
FEAT000362,PROJ000156,Role Based Access,Low,Planned,13,2025-06-24
FEAT000363,PROJ000165,Custom Reports,Low,Planned,10,2026-07-13
FEAT000364,PROJ000040,AI Insights,Medium,In Development,13,2025-10-03
FEAT000365,PROJ000085,Analytics Widgets,Low,Testing,14,2025-03-22
FEAT000366,PROJ000011,Slack Integration,Critical,In Development,6,2025-09-03
FEAT000367,PROJ000092,Search Improvements,Low,Testing,7,2025-04-25
FEAT000368,PROJ000026,Dark Mode,High,Testing,13,2025-01-27
FEAT000369,PROJ000215,Notification Center,High,Backlog,3,2026-01-05
FEAT000370,PROJ000007,Analytics Widgets,Medium,Testing,6,2025-10-16
FEAT000371,PROJ000236,Notification Center,Medium,Backlog,1,2024-12-30
