ticket_id,project_id,assigned_user_id,ticket_title,ticket_type,priority,status,story_points,created_at
TKT000231,PROJ000170,USR000216,Ticket-231,Task,Critical,Closed,2,2024-12-09
TKT000232,PROJ000153,USR000440,Ticket-232,Bug,Medium,Closed,7,2025-12-22
TKT000233,PROJ000125,USR000124,Ticket-233,Epic,Low,Resolved,9,2026-01-17
TKT000234,PROJ000095,USR000657,Ticket-234,Improvement,Critical,Open,6,2024-08-25
TKT000235,PROJ000192,USR000692,Ticket-235,Bug,High,Blocked,12,2025-05-10
TKT000236,PROJ000030,USR000293,Ticket-236,Improvement,High,Open,8,2025-05-16
TKT000237,PROJ000127,USR000155,Ticket-237,Epic,Medium,Blocked,11,2026-06-04
TKT000238,PROJ000066,USR000748,Ticket-238,Improvement,Low,In Progress,11,2025-05-21
TKT000239,PROJ000242,USR000332,Ticket-239,Story,Low,Resolved,2,2025-08-21
TKT000240,PROJ000206,USR000662,Ticket-240,Task,High,Resolved,10,2024-08-14
TKT000241,PROJ000148,USR000013,Ticket-241,Task,Low,In Progress,3,2025-09-11
TKT000242,PROJ000022,USR000538,Ticket-242,Improvement,Critical,Open,7,2025-03-11
TKT000243,PROJ000060,USR000541,Ticket-243,Bug,High,In Progress,4,2026-05-15
TKT000244,PROJ000043,USR000279,Ticket-244,Bug,Critical,Resolved,2,2025-04-09
TKT000245,PROJ000095,USR000200,Ticket-245,Story,High,In Progress,1,2024-08-05
TKT000246,PROJ000011,USR000081,Ticket-246,Task,Medium,Resolved,2,2025-08-10
TKT000247,PROJ000116,USR000229,Ticket-247,Bug,Low,Resolved,1,2025-07-23
TKT000248,PROJ000124,USR000500,Ticket-248,Epic,Low,Closed,2,2025-08-27
TKT000249,PROJ000119,USR000494,Ticket-249,Improvement,Critical,Blocked,3,2024-07-26
TKT000250,PROJ000152,USR000441,Ticket-250,Task,Low,Closed,2,2024-07-24
TKT000251,PROJ000021,USR000369,Ticket-251,Improvement,High,Open,11,2025-01-01
TKT000252,PROJ000186,USR000405,Ticket-252,Story,Critical,Closed,9,2025-07-08
TKT000253,PROJ000227,USR000368,Ticket-253,Task,Medium,Resolved,8,2025-05-30
TKT000254,PROJ000058,USR000789,Ticket-254,Task,Low,Resolved,12,2024-09-19
TKT000255,PROJ000185,USR000733,Ticket-255,Bug,Low,Open,6,2025-07-16
TKT000256,PROJ000132,USR000033,Ticket-256,Improvement,Critical,Closed,1,2026-01-01
TKT000257,PROJ000156,USR000690,Ticket-257,Bug,Critical,Closed,11,2026-04-25
TKT000258,PROJ000230,USR000204,Ticket-258,Task,Critical,Closed,11,2025-07-10
TKT000259,PROJ000004,USR000255,Ticket-259,Improvement,Medium,Resolved,2,2025-02-11
TKT000260,PROJ000230,USR000184,Ticket-260,Epic,Medium,Blocked,9,2025-12-20
TKT000261,PROJ000221,USR000329,Ticket-261,Task,Medium,In Progress,8,2024-09-26
TKT000262,PROJ000201,USR000588,Ticket-262,Task,Low,Resolved,7,2026-06-16
TKT000263,PROJ000154,USR000699,Ticket-263,Epic,Low,In Progress,3,2025-05-02
TKT000264,PROJ000095,USR000238,Ticket-264,Improvement,Low,Open,1,2026-05-27
TKT000265,PROJ000229,USR000681,Ticket-265,Improvement,Low,Open,11,2026-02-18
TKT000266,PROJ000207,USR000024,Ticket-266,Bug,Critical,In Progress,4,2025-12-15
TKT000267,PROJ000149,USR000055,Ticket-267,Epic,Low,In Progress,7,2025-01-12
TKT000268,PROJ000194,USR000076,Ticket-268,Bug,Low,Resolved,6,2025-08-13
TKT000269,PROJ000140,USR000180,Ticket-269,Story,Medium,Closed,9,2025-06-04
TKT000270,PROJ000139,USR000164,Ticket-270,Task,Critical,Blocked,5,2024-10-09
TKT000271,PROJ000055,USR000448,Ticket-271,Epic,Medium,In Progress,1,2024-10-11
TKT000272,PROJ000010,USR000379,Ticket-272,Improvement,Medium,Resolved,1,2025-04-08
TKT000273,PROJ000134,USR000020,Ticket-273,Epic,Medium,Blocked,8,2025-09-27
TKT000274,PROJ000086,USR000050,Ticket-274,Epic,Critical,In Progress,13,2024-08-10
TKT000275,PROJ000225,USR000159,Ticket-275,Task,High,Resolved,5,2025-05-21
TKT000276,PROJ000064,USR000069,Ticket-276,Story,Medium,Closed,11,2026-04-14
TKT000277,PROJ000034,USR000389,Ticket-277,Task,Low,Blocked,3,2024-09-24
TKT000278,PROJ000023,USR000085,Ticket-278,Story,Critical,Open,7,2025-12-27
TKT000279,PROJ000032,USR000039,Ticket-279,Story,Critical,Blocked,2,2026-03-18
TKT000280,PROJ000206,USR000650,Ticket-280,Bug,Medium,Resolved,10,2024-10-15
TKT000281,PROJ000110,USR000516,Ticket-281,Bug,Medium,In Progress,11,2026-06-20
TKT000282,PROJ000203,USR000123,Ticket-282,Epic,High,In Progress,1,2025-04-03
TKT000283,PROJ000034,USR000444,Ticket-283,Improvement,Low,In Progress,6,2025-09-22
TKT000284,PROJ000060,USR000652,Ticket-284,Epic,Medium,Resolved,9,2025-10-24
TKT000285,PROJ000177,USR000334,Ticket-285,Task,Low,Resolved,5,2026-03-22
TKT000286,PROJ000070,USR000289,Ticket-286,Task,Low,Blocked,7,2025-08-28
TKT000287,PROJ000221,USR000705,Ticket-287,Bug,Critical,Closed,9,2024-10-09
TKT000288,PROJ000087,USR000402,Ticket-288,Task,Critical,Blocked,6,2026-03-03
TKT000289,PROJ000048,USR000557,Ticket-289,Task,Low,Blocked,1,2025-04-02
TKT000290,PROJ000206,USR000699,Ticket-290,Task,Low,Closed,1,2026-03-21
TKT000291,PROJ000020,USR000208,Ticket-291,Bug,Critical,Open,5,2025-12-28
TKT000292,PROJ000113,USR000703,Ticket-292,Task,Medium,Closed,6,2024-11-29
TKT000293,PROJ000181,USR000713,Ticket-293,Task,Low,Open,2,2025-03-02
TKT000294,PROJ000202,USR000064,Ticket-294,Story,High,Resolved,4,2025-09-10
TKT000295,PROJ000031,USR000194,Ticket-295,Task,High,Open,13,2025-09-01
TKT000296,PROJ000227,USR000711,Ticket-296,Bug,Critical,Resolved,2,2026-04-07
TKT000297,PROJ000024,USR000555,Ticket-297,Task,Low,Blocked,2,2025-03-14
TKT000298,PROJ000027,USR000297,Ticket-298,Task,Medium,Open,4,2026-06-07
TKT000299,PROJ000027,USR000559,Ticket-299,Story,High,Open,9,2024-08-16
TKT000300,PROJ000074,USR000685,Ticket-300,Task,Critical,In Progress,4,2024-10-15
TKT000301,PROJ000142,USR000572,Ticket-301,Epic,Low,Blocked,2,2026-04-05
TKT000302,PROJ000118,USR000617,Ticket-302,Epic,Critical,Closed,13,2026-02-15
TKT000303,PROJ000063,USR000207,Ticket-303,Improvement,Critical,Blocked,11,2026-04-10
TKT000304,PROJ000138,USR000628,Ticket-304,Improvement,Low,Open,3,2025-10-30
TKT000305,PROJ000070,USR000295,Ticket-305,Task,Critical,Resolved,9,2025-10-18
